link,falha,severidade
http://quotes.toscrape.com/,Proteção contra Clickjacking ausente ou inválida,Alta
http://quotes.toscrape.com/,Site não utiliza HTTPS (HSTS não aplicável),Crítica
http://quotes.toscrape.com/,Ausência total de CSP (Risco crítico de XSS),Alta
http://quotes.toscrape.com/,X-Content-Type-Options ausente (Risco de MIME Sniffing),Baixa
http://quotes.toscrape.com/,Referrer-Policy ausente (Vazamento de metadados),Baixa
http://quotes.toscrape.com,Proteção contra Clickjacking ausente ou inválida,Alta
http://quotes.toscrape.com,Site não utiliza HTTPS (HSTS não aplicável),Crítica
http://quotes.toscrape.com,Ausência total de CSP (Risco crítico de XSS),Alta
http://quotes.toscrape.com,X-Content-Type-Options ausente (Risco de MIME Sniffing),Baixa
http://quotes.toscrape.com,Referrer-Policy ausente (Vazamento de metadados),Baixa
http://quotes.toscrape.com/tableful,Proteção contra Clickjacking ausente ou inválida,Alta
http://quotes.toscrape.com/tableful,Site não utiliza HTTPS (HSTS não aplicável),Crítica
http://quotes.toscrape.com/tableful,Ausência total de CSP (Risco crítico de XSS),Alta
http://quotes.toscrape.com/tableful,X-Content-Type-Options ausente (Risco de MIME Sniffing),Baixa
http://quotes.toscrape.com/tableful,Referrer-Policy ausente (Vazamento de metadados),Baixa
http://quotes.toscrape.com/login,Proteção contra Clickjacking ausente ou inválida,Alta
http://quotes.toscrape.com/login,Site não utiliza HTTPS (HSTS não aplicável),Crítica
http://quotes.toscrape.com/login,Ausência total de CSP (Risco crítico de XSS),Alta
http://quotes.toscrape.com/login,X-Content-Type-Options ausente (Risco de MIME Sniffing),Baixa
http://quotes.toscrape.com/login,Referrer-Policy ausente (Vazamento de metadados),Baixa
http://quotes.toscrape.com/scroll,Proteção contra Clickjacking ausente ou inválida,Alta
http://quotes.toscrape.com/scroll,Site não utiliza HTTPS (HSTS não aplicável),Crítica
http://quotes.toscrape.com/scroll,Ausência total de CSP (Risco crítico de XSS),Alta
http://quotes.toscrape.com/scroll,X-Content-Type-Options ausente (Risco de MIME Sniffing),Baixa
http://quotes.toscrape.com/scroll,Referrer-Policy ausente (Vazamento de metadados),Baixa
http://quotes.toscrape.com/random,Proteção contra Clickjacking ausente ou inválida,Alta
http://quotes.toscrape.com/random,Site não utiliza HTTPS (HSTS não aplicável),Crítica
http://quotes.toscrape.com/random,Ausência total de CSP (Risco crítico de XSS),Alta
http://quotes.toscrape.com/random,X-Content-Type-Options ausente (Risco de MIME Sniffing),Baixa
http://quotes.toscrape.com/random,Referrer-Policy ausente (Vazamento de metadados),Baixa
http://quotes.toscrape.com/js-delayed,Proteção contra Clickjacking ausente ou inválida,Alta
http://quotes.toscrape.com/js-delayed,Site não utiliza HTTPS (HSTS não aplicável),Crítica
http://quotes.toscrape.com/js-delayed,Ausência total de CSP (Risco crítico de XSS),Alta
http://quotes.toscrape.com/js-delayed,X-Content-Type-Options ausente (Risco de MIME Sniffing),Baixa
http://quotes.toscrape.com/js-delayed,Referrer-Policy ausente (Vazamento de metadados),Baixa
http://quotes.toscrape.com/search.aspx,Proteção contra Clickjacking ausente ou inválida,Alta
http://quotes.toscrape.com/search.aspx,Site não utiliza HTTPS (HSTS não aplicável),Crítica
http://quotes.toscrape.com/search.aspx,Ausência total de CSP (Risco crítico de XSS),Alta
http://quotes.toscrape.com/search.aspx,X-Content-Type-Options ausente (Risco de MIME Sniffing),Baixa
http://quotes.toscrape.com/search.aspx,Referrer-Policy ausente (Vazamento de metadados),Baixa
http://quotes.toscrape.com/js,Proteção contra Clickjacking ausente ou inválida,Alta
http://quotes.toscrape.com/js,Site não utiliza HTTPS (HSTS não aplicável),Crítica
http://quotes.toscrape.com/js,Ausência total de CSP (Risco crítico de XSS),Alta
http://quotes.toscrape.com/js,X-Content-Type-Options ausente (Risco de MIME Sniffing),Baixa
http://quotes.toscrape.com/js,Referrer-Policy ausente (Vazamento de metadados),Baixa
http://books.toscrape.com,Proteção contra Clickjacking ausente ou inválida,Alta
http://books.toscrape.com,Site não utiliza HTTPS (HSTS não aplicável),Crítica
http://books.toscrape.com,Ausência total de CSP (Risco crítico de XSS),Alta
http://books.toscrape.com,X-Content-Type-Options ausente (Risco de MIME Sniffing),Baixa
http://books.toscrape.com,Referrer-Policy ausente (Vazamento de metadados),Baixa
